source,NR,WR,SR,ER,NER,All India,date
Hydro,139.0,43.0,72.0,30.0,7.0,292,2013-03-31
Total,675.0,820.0,697.0,306.0,28.0,2526,2013-03-31
Wind Gen(MU),2.0,19.0,13.0,0.0,0.0,34,2013-03-31
Hydro,137.0,43.0,83.0,32.0,5.0,300,2013-04-01
Total,683.0,841.0,706.0,316.0,29.0,2575,2013-04-01
Wind Gen(MU),7.0,21.0,19.0,0.0,0.0,48,2013-04-01
Wind Gen(MU),8.0,25.0,15.0,0.0,0.0,48,2013-04-02
Total,675.0,836.0,709.0,311.0,28.0,2558,2013-04-02
Hydro,136.0,42.0,79.0,29.0,4.0,290,2013-04-02
Total,676.0,835.0,705.0,307.0,28.0,2551,2013-04-03
Hydro,135.0,42.0,80.0,38.0,4.0,299,2013-04-03
Wind Gen(MU),3.0,22.0,6.0,0.0,0.0,31,2013-04-03
Total,691.0,856.0,711.0,302.0,26.0,2586,2013-04-04
Hydro,133.0,44.0,78.0,38.0,5.0,297,2013-04-04
Wind Gen(MU),3.0,23.0,15.0,0.0,0.0,42,2013-04-04
Hydro,127.0,48.0,87.0,37.0,4.0,303,2013-04-05
Total,673.0,855.0,707.0,305.0,26.0,2566,2013-04-05
Wind Gen(MU),2.0,19.0,21.0,0.0,0.0,41,2013-04-05
Wind Gen(MU),8.0,20.0,34.0,0.0,0.0,61,2013-04-06
Total,678.0,856.0,717.0,311.0,27.0,2588,2013-04-06
Hydro,127.0,40.0,80.0,35.0,4.0,285,2013-04-06
Hydro,127.0,33.0,66.0,36.0,4.0,265,2013-04-07
Wind Gen(MU),13.0,25.0,16.0,0.0,0.0,53,2013-04-07
Total,677.0,842.0,697.0,308.0,27.0,2552,2013-04-07
Hydro,136.0,45.0,71.0,41.0,4.0,298,2013-04-08
Wind Gen(MU),13.0,18.0,15.0,0.0,0.0,47,2013-04-08
Total,692.0,876.0,715.0,314.0,27.0,2624,2013-04-08
Hydro,137.0,50.0,70.0,44.0,3.0,303,2013-04-09
Total,696.0,876.0,721.0,326.0,28.0,2647,2013-04-09
Wind Gen(MU),9.0,16.0,13.0,0.0,0.0,38,2013-04-09
Hydro,126.0,47.0,79.0,52.0,3.0,308,2013-04-10
Total,669.0,883.0,717.0,325.0,27.0,2620,2013-04-10
Wind Gen(MU),2.0,18.0,18.0,0.0,0.0,39,2013-04-10
Hydro,122.0,43.0,75.0,44.0,4.0,289,2013-04-11
Wind Gen(MU),4.0,19.0,18.0,0.0,0.0,41,2013-04-11
Total,692.0,873.0,709.0,327.0,27.0,2628,2013-04-11
Hydro,123.0,49.0,69.0,39.0,4.0,284,2013-04-12
Wind Gen(MU),3.0,26.0,9.0,0.0,0.0,39,2013-04-12
Total,699.0,881.0,715.0,320.0,28.0,2643,2013-04-12
Wind Gen(MU),2.0,24.0,10.0,0.0,0.0,36,2013-04-13
Hydro,121.0,53.0,65.0,35.0,4.0,278,2013-04-13
Total,694.0,874.0,715.0,316.0,28.0,2626,2013-04-13
Wind Gen(MU),3.0,23.0,15.0,0.0,0.0,41,2013-04-14
Total,684.0,830.0,717.0,285.0,26.0,2542,2013-04-14
Hydro,124.0,31.0,49.0,35.0,3.0,242,2013-04-14
Hydro,134.0,33.0,50.0,46.0,3.0,266,2013-04-15
Total,717.0,878.0,709.0,304.0,24.0,2632,2013-04-15
Wind Gen(MU),5.0,32.0,41.0,0.0,0.0,78,2013-04-15
Wind Gen(MU),15.0,41.0,44.0,0.0,0.0,99,2013-04-16
Hydro,140.0,40.0,55.0,31.0,4.0,269,2013-04-16
Total,718.0,880.0,732.0,314.0,27.0,2671,2013-04-16
Total,729.0,886.0,721.0,302.0,27.0,2665,2013-04-17
Hydro,143.0,45.0,64.0,38.0,5.0,295,2013-04-17
Wind Gen(MU),7.0,35.0,42.0,0.0,0.0,84,2013-04-17
Hydro,143.0,48.0,65.0,40.0,6.0,302,2013-04-18
Wind Gen(MU),2.0,32.0,38.0,0.0,0.0,72,2013-04-18
Total,723.0,864.0,728.0,295.0,28.0,2637,2013-04-18
Total,719.0,828.0,718.0,285.0,27.0,2577,2013-04-19
Hydro,137.0,35.0,69.0,33.0,5.0,279,2013-04-19
Wind Gen(MU),16.0,28.0,24.0,0.0,0.0,68,2013-04-19
Total,716.0,794.0,710.0,273.0,26.0,2519,2013-04-20
Wind Gen(MU),15.0,29.0,28.0,0.0,0.0,72,2013-04-20
Hydro,135.0,37.0,52.0,27.0,6.0,258,2013-04-20
Wind Gen(MU),5.0,18.0,17.0,0.0,0.0,39,2013-04-21
Total,681.0,797.0,685.0,265.0,27.0,2455,2013-04-21
Hydro,131.0,31.0,48.0,25.0,5.0,239,2013-04-21
Total,699.0,829.0,701.0,280.0,28.0,2537,2013-04-22
Hydro,133.0,39.0,55.0,34.0,5.0,266,2013-04-22
Wind Gen(MU),5.0,13.0,14.0,0.0,0.0,31,2013-04-22
Wind Gen(MU),2.0,14.0,11.0,0.0,0.0,27,2013-04-23
Total,723.0,852.0,705.0,298.0,28.0,2606,2013-04-23
Hydro,137.0,67.0,57.0,37.0,6.0,304,2013-04-23
Total,749.0,870.0,694.0,302.0,28.0,2642,2013-04-24
Hydro,147.0,63.0,67.0,38.0,5.0,319,2013-04-24
Wind Gen(MU),5.0,23.0,9.0,0.0,0.0,38,2013-04-24
Wind Gen(MU),5.0,33.0,11.0,0.0,0.0,49,2013-04-25
Total,754.0,862.0,695.0,315.0,27.0,2653,2013-04-25
Hydro,156.0,54.0,58.0,36.0,4.0,307,2013-04-25
Total,748.0,846.0,687.0,313.0,28.0,2622,2013-04-26
Hydro,170.0,39.0,57.0,29.0,5.0,299,2013-04-26
Wind Gen(MU),5.0,26.0,7.0,0.0,0.0,39,2013-04-26
Wind Gen(MU),6.0,29.0,10.0,0.0,0.0,46,2013-04-27
Total,748.0,876.0,695.0,332.0,27.0,2677,2013-04-27
Hydro,171.0,40.0,59.0,46.0,4.0,320,2013-04-27
Hydro,159.0,30.0,32.0,40.0,4.0,265,2013-04-28
Wind Gen(MU),7.0,31.0,29.0,0.0,0.0,67,2013-04-28
Total,736.0,865.0,691.0,316.0,27.0,2635,2013-04-28
Total,767.0,895.0,695.0,328.0,28.0,2713,2013-04-29
Hydro,160.0,39.0,48.0,46.0,5.0,298,2013-04-29
Wind Gen(MU),5.0,28.0,20.0,0.0,0.0,53,2013-04-29
Hydro,167.0,38.0,58.0,51.0,4.0,318,2013-04-30
Total,787.0,902.0,703.0,335.0,28.0,2754,2013-04-30
Wind Gen(MU),6.0,19.0,7.0,0.0,0.0,32,2013-04-30
Wind Gen(MU),8.0,20.0,8.0,0.0,0.0,36,2013-05-01
Total,783.0,856.0,677.0,319.0,28.0,2663,2013-05-01
Hydro,166.0,29.0,44.0,48.0,6.0,293,2013-05-01
Total,784.0,873.0,688.0,327.0,25.0,2696,2013-05-02
Hydro,165.0,39.0,55.0,55.0,4.0,319,2013-05-02
Wind Gen(MU),2.0,27.0,26.0,0.0,0.0,55,2013-05-02
Wind Gen(MU),3.0,43.0,46.0,0.0,0.0,92,2013-05-03
Total,793.0,876.0,722.0,320.0,25.0,2736,2013-05-03
Hydro,164.0,34.0,54.0,52.0,8.0,312,2013-05-03
Hydro,169.0,40.0,57.0,47.0,6.0,319,2013-05-04
Wind Gen(MU),9.0,45.0,33.0,0.0,0.0,87,2013-05-04
Total,797.0,880.0,714.0,312.0,25.0,2728,2013-05-04
Wind Gen(MU),6.0,40.0,13.0,0.0,0.0,60,2013-05-05
Total,795.0,862.0,688.0,296.0,24.0,2666,2013-05-05
Hydro,170.0,41.0,51.0,45.0,9.0,317,2013-05-05
Total,823.0,888.0,696.0,307.0,26.0,2739,2013-05-06
Hydro,177.0,57.0,64.0,37.0,10.0,344,2013-05-06
Wind Gen(MU),4.0,24.0,11.0,0.0,0.0,39,2013-05-06
Total,811.0,891.0,701.0,312.0,27.0,2743,2013-05-07
Hydro,173.0,69.0,61.0,37.0,9.0,348,2013-05-07
Wind Gen(MU),4.0,26.0,23.0,0.0,0.0,53,2013-05-07
Wind Gen(MU),12.0,32.0,46.0,0.0,0.0,90,2013-05-08
Hydro,182.0,64.0,64.0,43.0,9.0,362,2013-05-08
Total,836.0,892.0,729.0,328.0,28.0,2813,2013-05-08
Total,852.0,894.0,714.0,327.0,27.0,2815,2013-05-09
Hydro,198.0,49.0,56.0,43.0,11.0,356,2013-05-09
Wind Gen(MU),11.0,33.0,54.0,0.0,0.0,98,2013-05-09
Wind Gen(MU),16.0,32.0,66.0,0.0,0.0,113,2013-05-10
Total,857.0,878.0,722.0,327.0,27.0,2812,2013-05-10
Hydro,214.0,43.0,45.0,49.0,10.0,360,2013-05-10
Total,819.0,869.0,721.0,327.0,29.0,2764,2013-05-11
Hydro,211.0,32.0,43.0,49.0,11.0,346,2013-05-11
Wind Gen(MU),8.0,39.0,67.0,0.0,0.0,114,2013-05-11
Hydro,217.0,26.0,27.0,44.0,13.0,327,2013-05-12
Wind Gen(MU),14.0,44.0,81.0,0.0,0.0,138,2013-05-12
Total,789.0,844.0,691.0,289.0,26.0,2640,2013-05-12
Total,809.0,868.0,712.0,288.0,27.0,2704,2013-05-13
Hydro,202.0,50.0,40.0,54.0,14.0,360,2013-05-13
Wind Gen(MU),8.0,30.0,69.0,0.0,0.0,106,2013-05-13
Total,835.0,880.0,732.0,303.0,28.0,2777,2013-05-14
Hydro,202.0,47.0,39.0,52.0,16.0,356,2013-05-14
Wind Gen(MU),7.0,33.0,89.0,0.0,0.0,129,2013-05-14
Total,840.0,873.0,731.0,308.0,32.0,2784,2013-05-15
Hydro,203.0,50.0,37.0,50.0,14.0,355,2013-05-15
Wind Gen(MU),8.0,34.0,95.0,0.0,0.0,137,2013-05-15
Wind Gen(MU),10.0,42.0,68.0,0.0,0.0,120,2013-05-16
Hydro,204.0,49.0,43.0,47.0,13.0,356,2013-05-16
Total,855.0,875.0,728.0,310.0,29.0,2797,2013-05-16
Total,879.0,869.0,708.0,300.0,30.0,2786,2013-05-17
Hydro,217.0,43.0,53.0,47.0,14.0,374,2013-05-17
Wind Gen(MU),25.0,43.0,48.0,0.0,0.0,116,2013-05-17
Total,873.0,864.0,698.0,301.0,30.0,2766,2013-05-18
Hydro,239.0,49.0,54.0,54.0,14.0,410,2013-05-18
Wind Gen(MU),20.0,37.0,44.0,0.0,0.0,101,2013-05-18
Total,871.0,842.0,689.0,287.0,29.0,2718,2013-05-19
Hydro,253.0,31.0,31.0,43.0,14.0,372,2013-05-19
Wind Gen(MU),26.0,33.0,39.0,0.0,0.0,98,2013-05-19
Total,891.0,859.0,689.0,309.0,31.0,2779,2013-05-20
Wind Gen(MU),20.0,29.0,44.0,0.0,0.0,93,2013-05-20
Hydro,267.0,50.0,35.0,49.0,14.0,415,2013-05-20
Total,901.0,874.0,698.0,316.0,33.0,2821,2013-05-21
Wind Gen(MU),18.0,40.0,52.0,0.0,0.0,110,2013-05-21
Hydro,275.0,47.0,31.0,53.0,12.0,418,2013-05-21
Total,907.0,876.0,727.0,318.0,31.0,2858,2013-05-22
Hydro,279.0,44.0,33.0,57.0,12.0,425,2013-05-22
Wind Gen(MU),12.0,49.0,86.0,0.0,0.0,147,2013-05-22
Total,912.0,875.0,720.0,319.0,31.0,2857,2013-05-23
Hydro,275.0,44.0,34.0,54.0,13.0,420,2013-05-23
Wind Gen(MU),15.0,59.0,92.0,0.0,0.0,166,2013-05-23
Wind Gen(MU),24.0,69.0,105.0,0.0,0.0,197,2013-05-24
Total,925.0,872.0,732.0,319.0,33.0,2880,2013-05-24
Hydro,278.0,44.0,40.0,58.0,18.0,437,2013-05-24
Wind Gen(MU),33.0,72.0,103.0,0.0,0.0,208,2013-05-25
Hydro,281.0,41.0,36.0,53.0,22.0,432,2013-05-25
Total,929.0,870.0,719.0,312.0,33.0,2862,2013-05-25
Hydro,262.0,30.0,26.0,59.0,15.0,392,2013-05-26
Total,904.0,849.0,689.0,309.0,34.0,2785,2013-05-26
Wind Gen(MU),27.0,66.0,90.0,0.0,0.0,183,2013-05-26
Wind Gen(MU),20.0,54.0,90.0,0.0,0.0,164,2013-05-27
Hydro,275.0,31.0,30.0,44.0,13.0,395,2013-05-27
Total,916.0,866.0,695.0,302.0,32.0,2811,2013-05-27
Hydro,274.0,41.0,34.0,55.0,13.0,416,2013-05-28
Wind Gen(MU),13.0,54.0,85.0,0.0,0.0,152,2013-05-28
Total,927.0,864.0,700.0,308.0,31.0,2831,2013-05-28
Wind Gen(MU),13.0,57.0,76.0,0.0,0.0,146,2013-05-29
Hydro,267.0,45.0,31.0,63.0,17.0,422,2013-05-29
Total,924.0,862.0,684.0,295.0,33.0,2798,2013-05-29
Wind Gen(MU),14.0,50.0,64.0,0.0,0.0,128,2013-05-31
Hydro,265.0,48.0,32.0,63.0,22.0,430,2013-05-31
Total,909.0,865.0,653.0,254.0,33.0,2714,2013-05-31
Hydro,280.0,41.0,32.0,66.0,19.0,437,2013-06-01
Wind Gen(MU),17.0,36.0,65.0,0.0,0.0,118,2013-06-01
Total,887.0,842.0,628.0,281.0,33.0,2671,2013-06-01
Total,860.0,801.0,609.0,295.0,34.0,2599,2013-06-02
Hydro,288.0,25.0,25.0,70.0,17.0,424,2013-06-02
Wind Gen(MU),17.0,20.0,75.0,0.0,0.0,113,2013-06-02
Wind Gen(MU),8.0,17.0,76.0,0.0,0.0,101,2013-06-04
Hydro,292.0,35.0,39.0,73.0,14.0,452,2013-06-04
Total,908.0,806.0,651.0,318.0,33.0,2716,2013-06-04
Total,921.0,798.0,669.0,315.0,34.0,2737,2013-06-05
Hydro,292.0,33.0,46.0,71.0,14.0,456,2013-06-05
Wind Gen(MU),20.0,27.0,74.0,0.0,0.0,121,2013-06-05
Hydro,278.0,27.0,35.0,71.0,12.0,423,2013-06-06
Wind Gen(MU),29.0,34.0,82.0,0.0,0.0,145,2013-06-06
Total,884.0,805.0,657.0,319.0,32.0,2696,2013-06-06
Total,867.0,768.0,656.0,316.0,32.0,2640,2013-06-07
Hydro,286.0,28.0,28.0,66.0,13.0,421,2013-06-07
Wind Gen(MU),22.0,23.0,83.0,0.0,0.0,128,2013-06-07
Total,910.0,772.0,641.0,309.0,32.0,2664,2013-06-08
Hydro,296.0,34.0,27.0,58.0,13.0,427,2013-06-08
Wind Gen(MU),18.0,18.0,91.0,0.0,0.0,127,2013-06-08
Hydro,288.0,25.0,25.0,64.0,13.0,414,2013-06-09
Total,894.0,741.0,618.0,311.0,33.0,2598,2013-06-09
Wind Gen(MU),17.0,33.0,89.0,0.0,0.0,139,2013-06-09
Total,909.0,749.0,648.0,305.0,35.0,2646,2013-06-10
Hydro,242.0,28.0,37.0,63.0,15.0,385,2013-06-10
Wind Gen(MU),10.0,33.0,89.0,0.0,0.0,132,2013-06-10
Hydro,268.0,24.0,29.0,59.0,15.0,395,2013-06-11
Total,866.0,749.0,658.0,316.0,35.0,2624,2013-06-11
Wind Gen(MU),6.0,33.0,97.0,0.0,0.0,136,2013-06-11
Total,891.0,690.0,649.0,311.0,33.0,2573,2013-06-12
Hydro,299.0,27.0,34.0,55.0,14.0,428,2013-06-12
Wind Gen(MU),3.0,36.0,103.0,0.0,0.0,142,2013-06-12
Total,831.0,692.0,641.0,301.0,34.0,2499,2013-06-13
Hydro,286.0,23.0,33.0,52.0,13.0,406,2013-06-13
Wind Gen(MU),1.0,31.0,109.0,0.0,0.0,141,2013-06-13
Wind Gen(MU),2.0,36.0,115.0,0.0,0.0,153,2013-06-14
Total,854.0,727.0,645.0,299.0,35.0,2559,2013-06-14
Hydro,296.0,26.0,36.0,52.0,13.0,423,2013-06-14
Total,762.0,704.0,645.0,300.0,35.0,2446,2013-06-15
Hydro,267.0,39.0,36.0,50.0,12.0,404,2013-06-15
Wind Gen(MU),3.0,31.0,112.0,0.0,0.0,147,2013-06-15
Total,684.0,673.0,634.0,299.0,33.0,2323,2013-06-16
Hydro,244.0,38.0,40.0,60.0,13.0,395,2013-06-16
Wind Gen(MU),6.0,39.0,102.0,0.0,0.0,147,2013-06-16
Wind Gen(MU),7.0,43.0,104.0,0.0,0.0,153,2013-06-17
Hydro,169.0,52.0,56.0,59.0,14.0,350,2013-06-17
Total,672.0,677.0,675.0,324.0,35.0,2384,2013-06-17
Total,753.0,695.0,694.0,331.0,34.0,2507,2013-06-18
Hydro,184.0,63.0,60.0,57.0,15.0,378,2013-06-18
Wind Gen(MU),10.0,43.0,110.0,0.0,0.0,163,2013-06-18
Hydro,206.0,71.0,67.0,59.0,16.0,419,2013-06-19
Wind Gen(MU),8.0,23.0,96.0,0.0,0.0,126,2013-06-19
Total,808.0,717.0,699.0,320.0,35.0,2579,2013-06-19
Total,889.0,726.0,710.0,295.0,36.0,2655,2013-06-20
Wind Gen(MU),18.0,25.0,98.0,0.0,0.0,141,2013-06-20
Hydro,257.0,66.0,64.0,59.0,17.0,464,2013-06-20
Hydro,271.0,61.0,68.0,63.0,15.0,478,2013-06-21
Wind Gen(MU),30.0,48.0,102.0,0.0,0.0,180,2013-06-21
Total,922.0,733.0,717.0,312.0,36.0,2720,2013-06-21
Total,934.0,744.0,703.0,308.0,34.0,2723,2013-06-22
Hydro,278.0,57.0,60.0,66.0,16.0,476,2013-06-22
Wind Gen(MU),31.0,54.0,106.0,0.0,0.0,190,2013-06-22
Wind Gen(MU),27.0,39.0,95.0,0.0,0.0,161,2013-06-23
Hydro,280.0,57.0,43.0,63.0,17.0,461,2013-06-23
Total,938.0,718.0,667.0,316.0,33.0,2672,2013-06-23
Wind Gen(MU),25.0,41.0,100.0,0.0,0.0,166,2013-06-24
Total,957.0,738.0,678.0,311.0,34.0,2718,2013-06-24
Hydro,260.0,60.0,50.0,68.0,16.0,455,2013-06-24
Total,940.0,726.0,665.0,326.0,31.0,2688,2013-06-25
Wind Gen(MU),18.0,44.0,90.0,0.0,0.0,151,2013-06-25
Hydro,275.0,52.0,62.0,75.0,17.0,480,2013-06-25
Total,987.0,716.0,685.0,312.0,33.0,2733,2013-06-26
Hydro,280.0,60.0,63.0,69.0,18.0,490,2013-06-26
Wind Gen(MU),26.0,53.0,90.0,0.0,0.0,168,2013-06-26
Hydro,248.0,57.0,65.0,71.0,24.0,464,2013-06-27
Total,923.0,713.0,695.0,315.0,34.0,2680,2013-06-27
Wind Gen(MU),33.0,64.0,96.0,0.0,0.0,193,2013-06-27
Wind Gen(MU),33.0,60.0,82.0,0.0,0.0,174,2013-06-29
Hydro,277.0,55.0,71.0,75.0,26.0,504,2013-06-29
Total,884.0,724.0,693.0,300.0,35.0,2636,2013-06-29
Hydro,263.0,47.0,62.0,72.0,24.0,468,2013-06-30
Wind Gen(MU),25.0,55.0,77.0,0.0,0.0,157,2013-06-30
Total,802.0,715.0,674.0,281.0,34.0,2505,2013-06-30
Hydro,280.0,36.0,76.0,77.0,24.0,492,2013-07-01
Total,918.0,751.0,698.0,299.0,34.0,2700,2013-07-01
Wind Gen(MU),19.0,54.0,84.0,0.0,0.0,157,2013-07-01
Wind Gen(MU),10.0,58.0,96.0,0.0,0.0,164,2013-07-02
Total,939.0,760.0,694.0,313.0,35.0,2741,2013-07-02
Hydro,287.0,39.0,70.0,81.0,21.0,497,2013-07-02
Hydro,284.0,42.0,72.0,83.0,20.0,501,2013-07-03
Wind Gen(MU),10.0,73.0,91.0,0.0,0.0,174,2013-07-03
Total,937.0,749.0,695.0,319.0,36.0,2736,2013-07-03
Total,957.0,713.0,685.0,308.0,35.0,2698,2013-07-04
Hydro,291.0,49.0,67.0,83.0,19.0,508,2013-07-04
Wind Gen(MU),7.0,43.0,93.0,0.0,0.0,143,2013-07-04
Wind Gen(MU),11.0,45.0,78.0,0.0,0.0,134,2013-07-05
Total,941.0,718.0,694.0,329.0,35.0,2717,2013-07-05
Hydro,294.0,53.0,82.0,80.0,19.0,527,2013-07-05
Total,945.0,731.0,692.0,316.0,36.0,2719,2013-07-06
Wind Gen(MU),10.0,26.0,78.0,0.0,0.0,114,2013-07-06
Hydro,255.0,51.0,75.0,75.0,23.0,478,2013-07-06
Hydro,284.0,45.0,68.0,72.0,24.0,492,2013-07-07
Wind Gen(MU),14.0,28.0,56.0,0.0,0.0,98,2013-07-07
Total,928.0,718.0,648.0,301.0,34.0,2628,2013-07-07
Wind Gen(MU),22.0,42.0,68.0,0.0,0.0,132,2013-07-08
Hydro,276.0,48.0,67.0,76.0,21.0,489,2013-07-08
Total,894.0,748.0,668.0,312.0,32.0,2654,2013-07-08
Hydro,294.0,41.0,67.0,61.0,23.0,484,2013-07-09
Wind Gen(MU),28.0,54.0,67.0,0.0,0.0,149,2013-07-09
Total,879.0,746.0,687.0,319.0,33.0,2664,2013-07-09
Wind Gen(MU),20.0,60.0,61.0,0.0,0.0,140,2013-07-10
Hydro,289.0,38.0,61.0,66.0,24.0,478,2013-07-10
Total,867.0,732.0,674.0,326.0,35.0,2633,2013-07-10
Total,918.0,731.0,657.0,323.0,35.0,2664,2013-07-11
Wind Gen(MU),9.0,50.0,62.0,0.0,0.0,120,2013-07-11
Hydro,286.0,36.0,55.0,76.0,19.0,472,2013-07-11
Hydro,289.0,46.0,60.0,76.0,17.0,488,2013-07-12
Wind Gen(MU),4.0,37.0,73.0,0.0,0.0,113,2013-07-12
Total,934.0,708.0,655.0,322.0,34.0,2653,2013-07-12
Wind Gen(MU),7.0,47.0,86.0,0.0,0.0,140,2013-07-13
Total,944.0,697.0,658.0,319.0,36.0,2655,2013-07-13
Hydro,295.0,41.0,65.0,79.0,19.0,498,2013-07-13
Total,924.0,676.0,645.0,314.0,34.0,2593,2013-07-14
Hydro,296.0,34.0,56.0,77.0,20.0,483,2013-07-14
Wind Gen(MU),16.0,45.0,67.0,0.0,0.0,127,2013-07-14
Hydro,297.0,41.0,65.0,76.0,18.0,497,2013-07-15
Wind Gen(MU),25.0,53.0,79.0,0.0,0.0,156,2013-07-15
Total,948.0,704.0,673.0,326.0,35.0,2685,2013-07-15
Hydro,296.0,46.0,57.0,77.0,20.0,496,2013-07-16
Total,951.0,717.0,671.0,328.0,36.0,2703,2013-07-16
Wind Gen(MU),13.0,49.0,82.0,0.0,0.0,144,2013-07-16
Total,966.0,724.0,664.0,334.0,37.0,2724,2013-07-17
Wind Gen(MU),13.0,53.0,84.0,0.0,0.0,150,2013-07-17
Hydro,294.0,60.0,60.0,78.0,20.0,512,2013-07-17
Wind Gen(MU),24.0,63.0,86.0,0.0,0.0,173,2013-07-18
Total,967.0,721.0,662.0,338.0,35.0,2722,2013-07-18
Hydro,287.0,64.0,61.0,80.0,21.0,513,2013-07-18
Total,964.0,715.0,646.0,328.0,36.0,2688,2013-07-19
Hydro,286.0,72.0,73.0,81.0,22.0,533,2013-07-19
Wind Gen(MU),29.0,61.0,81.0,0.0,0.0,171,2013-07-19
Wind Gen(MU),15.0,40.0,69.0,0.0,0.0,124,2013-07-20
Hydro,271.0,68.0,85.0,71.0,20.0,515,2013-07-20
Total,891.0,709.0,636.0,323.0,35.0,2592,2013-07-20
Total,872.0,691.0,619.0,320.0,36.0,2537,2013-07-21
Hydro,290.0,70.0,91.0,71.0,21.0,544,2013-07-21
Wind Gen(MU),6.0,43.0,60.0,0.0,0.0,110,2013-07-21
Wind Gen(MU),12.0,47.0,73.0,0.0,0.0,131,2013-07-22
Hydro,293.0,79.0,99.0,67.0,21.0,558,2013-07-22
Total,933.0,712.0,646.0,322.0,35.0,2648,2013-07-22
Hydro,298.0,70.0,97.0,68.0,20.0,553,2013-07-23
Total,918.0,704.0,636.0,324.0,36.0,2617,2013-07-23
Wind Gen(MU),5.0,48.0,77.0,0.0,0.0,130,2013-07-23
Hydro,292.0,81.0,107.0,70.0,20.0,570,2013-07-24
Total,928.0,701.0,651.0,327.0,36.0,2643,2013-07-24
Wind Gen(MU),3.0,38.0,77.0,0.0,0.0,119,2013-07-24
Hydro,276.0,79.0,112.0,68.0,20.0,555,2013-07-25
Total,913.0,700.0,662.0,322.0,36.0,2633,2013-07-25
Wind Gen(MU),10.0,51.0,83.0,0.0,0.0,144,2013-07-25
Hydro,292.0,77.0,124.0,70.0,19.0,581,2013-07-26
Wind Gen(MU),7.0,62.0,79.0,0.0,0.0,147,2013-07-26
Total,918.0,692.0,678.0,314.0,35.0,2637,2013-07-26
Wind Gen(MU),11.0,64.0,71.0,0.0,0.0,145,2013-07-28
Hydro,301.0,104.0,112.0,67.0,18.0,601,2013-07-28
Total,908.0,668.0,661.0,308.0,36.0,2579,2013-07-28
Total,940.0,686.0,692.0,301.0,36.0,2655,2013-07-29
Hydro,299.0,107.0,124.0,68.0,16.0,613,2013-07-29
Wind Gen(MU),15.0,69.0,78.0,0.0,0.0,162,2013-07-29
Hydro,308.0,115.0,128.0,74.0,16.0,641,2013-07-30
Wind Gen(MU),8.0,56.0,98.0,0.0,0.0,162,2013-07-30
Total,926.0,694.0,698.0,306.0,35.0,2660,2013-07-30
Wind Gen(MU),11.0,54.0,99.0,0.0,0.0,165,2013-07-31
Total,932.0,685.0,678.0,312.0,33.0,2640,2013-07-31
Hydro,302.0,106.0,138.0,83.0,17.0,646,2013-07-31
Wind Gen(MU),4.0,43.0,96.0,0.0,0.0,142,2013-08-01
Total,903.0,677.0,675.0,311.0,36.0,2603,2013-08-01
Hydro,291.0,116.0,150.0,70.0,17.0,644,2013-08-01
Wind Gen(MU),5.0,41.0,93.0,0.0,0.0,138,2013-08-02
Total,932.0,671.0,691.0,318.0,36.0,2648,2013-08-02
Hydro,296.0,98.0,170.0,71.0,16.0,651,2013-08-02
Total,950.0,680.0,700.0,322.0,36.0,2687,2013-08-03
Wind Gen(MU),6.0,37.0,80.0,0.0,0.0,122,2013-08-03
Hydro,290.0,107.0,185.0,78.0,15.0,675,2013-08-03
Wind Gen(MU),5.0,36.0,57.0,0.0,0.0,98,2013-08-04
Total,938.0,675.0,672.0,314.0,36.0,2635,2013-08-04
Hydro,302.0,111.0,174.0,80.0,16.0,683,2013-08-04
Total,948.0,713.0,678.0,313.0,32.0,2684,2013-08-05
Wind Gen(MU),12.0,31.0,56.0,0.0,0.0,99,2013-08-05
Hydro,286.0,109.0,185.0,72.0,16.0,668,2013-08-05
Wind Gen(MU),11.0,28.0,66.0,0.0,0.0,106,2013-08-06
Total,880.0,721.0,686.0,321.0,33.0,2641,2013-08-06
Hydro,291.0,104.0,191.0,72.0,21.0,679,2013-08-06
Wind Gen(MU),12.0,26.0,74.0,0.0,0.0,112,2013-08-07
Hydro,296.0,109.0,194.0,74.0,21.0,694,2013-08-07
Total,883.0,727.0,696.0,314.0,32.0,2652,2013-08-07
Wind Gen(MU),17.0,36.0,73.0,0.0,0.0,125,2013-08-08
Hydro,266.0,106.0,202.0,77.0,22.0,673,2013-08-08
Total,884.0,737.0,716.0,310.0,34.0,2681,2013-08-08
Total,869.0,714.0,706.0,313.0,35.0,2636,2013-08-09
Hydro,279.0,107.0,199.0,76.0,23.0,684,2013-08-09
Wind Gen(MU),19.0,44.0,69.0,0.0,0.0,131,2013-08-09
Total,862.0,706.0,692.0,311.0,35.0,2606,2013-08-10
Hydro,299.0,104.0,197.0,71.0,23.0,694,2013-08-10
Wind Gen(MU),10.0,51.0,58.0,0.0,0.0,119,2013-08-10
Total,858.0,698.0,668.0,309.0,36.0,2568,2013-08-11
Wind Gen(MU),3.0,33.0,47.0,0.0,0.0,83,2013-08-11
Hydro,301.0,98.0,178.0,68.0,24.0,669,2013-08-11
Hydro,296.0,103.0,168.0,68.0,21.0,656,2013-08-12
Wind Gen(MU),7.0,30.0,57.0,0.0,0.0,94,2013-08-12
Total,897.0,727.0,670.0,312.0,34.0,2641,2013-08-12
Total,882.0,725.0,684.0,332.0,36.0,2658,2013-08-14
Hydro,291.0,106.0,166.0,73.0,20.0,656,2013-08-14
