Region,States,Max.Demand Met during the day(MW),Shortage during maximum Demand(MW),Energy Met (MU),date,DayName,MonthName,Year,Quarter,Month,Season,temp_avg_karnataka
SR,Karnataka,6828,400.0,146.4,2013-05-28,Tuesday,May,2013,2,5,Spring,25.572777777777777
SR,Karnataka,6861,400.0,141.9,2013-05-29,Wednesday,May,2013,2,5,Spring,25.579583333333336
SR,Karnataka,6628,500.0,139.9,2013-05-31,Friday,May,2013,2,5,Spring,25.31138888888888
SR,Karnataka,6556,600.0,122.3,2013-06-01,Saturday,June,2013,2,6,Summer,24.76861111111111
SR,Karnataka,5929,400.0,117.4,2013-06-02,Sunday,June,2013,2,6,Summer,24.578194444444446
SR,Karnataka,6761,600.0,131.1,2013-06-04,Tuesday,June,2013,2,6,Summer,25.830416666666657
SR,Karnataka,6623,600.0,135.5,2013-06-05,Wednesday,June,2013,2,6,Summer,26.264583333333334
SR,Karnataka,6791,600.0,132.6,2013-06-06,Thursday,June,2013,2,6,Summer,25.42625
SR,Karnataka,6539,600.0,134.9,2013-06-07,Friday,June,2013,2,6,Summer,24.763194444444448
SR,Karnataka,6428,600.0,130.9,2013-06-08,Saturday,June,2013,2,6,Summer,24.280833333333334
SR,Karnataka,5971,300.0,121.8,2013-06-09,Sunday,June,2013,2,6,Summer,24.38458333333334
SR,Karnataka,6803,600.0,136.7,2013-06-10,Monday,June,2013,2,6,Summer,24.682916666666664
SR,Karnataka,6801,500.0,138.6,2013-06-11,Tuesday,June,2013,2,6,Summer,25.0363888888889
SR,Karnataka,7009,600.0,137.7,2013-06-12,Wednesday,June,2013,2,6,Summer,25.368472222222234
SR,Karnataka,6691,450.0,135.7,2013-06-13,Thursday,June,2013,2,6,Summer,24.9086111111111
SR,Karnataka,6852,500.0,136.6,2013-06-14,Friday,June,2013,2,6,Summer,24.779444444444454
SR,Karnataka,6776,500.0,135.6,2013-06-15,Saturday,June,2013,2,6,Summer,25.701527777777784
SR,Karnataka,6155,600.0,127.0,2013-06-16,Sunday,June,2013,2,6,Summer,25.826249999999998
SR,Karnataka,6910,650.0,140.9,2013-06-17,Monday,June,2013,2,6,Summer,25.53916666666666
SR,Karnataka,7188,600.0,146.8,2013-06-18,Tuesday,June,2013,2,6,Summer,25.163888888888906
SR,Karnataka,7069,600.0,147.9,2013-06-19,Wednesday,June,2013,2,6,Summer,25.354722222222225
SR,Karnataka,7116,600.0,148.5,2013-06-20,Thursday,June,2013,2,6,Summer,25.128333333333337
